row#,Name,FIPS,Source,ToxPi Score,Financial Services,"Food, Water, and Waste Management",Energy,Transportation,Communications,Governance
61631,"TX, Anderson, 48001950100",48001950100,"+31.9714680,-095.5524440",0.596604765192559,0.574228213300286,0.759117571113319,0.653271341686989,0.439358830272878,0.615797907588866,0.537854727193019
61632,"TX, Anderson, 48001950401",48001950401,"+31.7346372,-095.8157096",0.6117741314545,0.359927728966983,1,0.473201429080681,0.705554943523498,0.390664560157699,0.741296126998138
61633,"TX, Anderson, 48001950402",48001950402,"+31.7999975,-095.9123872",0.574061772529921,0.359927728966983,1,0.653271341686989,0.689875437527415,0,0.741296126998138
61634,"TX, Anderson, 48001950500",48001950500,"+31.7878081,-095.6419012",0.688584788434839,0.560278316367585,0.921524995527579,0.690261138042958,0.471247602959972,0.869165371658455,0.619031306052486
61635,"TX, Anderson, 48001950600",48001950600,"+31.7502049,-095.6692087",0.675691846554513,0.605683657586879,0.94050880077845,0.677159115927411,0.446888093340623,0.764088597103913,0.619822814589804
61636,"TX, Anderson, 48001950700",48001950700,"+31.7516003,-095.6340970",0.695103063936133,0.585622377236043,0.94050880077845,0.678569843798797,0.441222714834581,0.964696562719582,0.559998084249347
61637,"TX, Anderson, 48001950800",48001950800,"+31.7394653,-095.6143534",0.536070212570708,0.60015614203535,0.500963648007939,0.573986312272153,0.335063675203982,0.786711352519798,0.419540145385028
61638,"TX, Anderson, 48001950901",48001950901,"+31.7062457,-095.7358730",0.649271223099425,0.595964180526,1,0.605829342252468,0.418910938115077,0.700962818796482,0.573960058906522
61639,"TX, Anderson, 48001950902",48001950902,"+31.7878409,-095.5053418",0.627092537379329,0.433523049877596,1,0.718243055782052,0.446350676132159,0.625106125927274,0.539332316556892
61640,"TX, Anderson, 48001951000",48001951000,"+31.6232277,-095.5131055",0.752105000638908,0.722604071928576,0.759117571113319,0.706371731450742,0.912733138763773,0.775721788295614,0.636081702281426
61641,"TX, Anderson, 48001951100",48001951100,"+31.9219100,-095.8429741",0.71123757706984,0.563900394869409,1,0.653271341686989,0.565413824496812,0.815939822468787,0.66890007889704
61642,"TX, Andrews, 48003950100",48003950100,"+32.3588247,-102.7169259",0.411122714546342,0.457636443146978,0.425854932811296,0.363436454448736,0.420294821061751,0.314334732527762,0.485178903281528
61643,"TX, Andrews, 48003950200",48003950200,"+32.3283796,-102.5538031",0.513509080306578,0.526878976668816,0.689199378885969,0.458133617134098,0.399313736529279,0.565750301095213,0.441778471526094
61644,"TX, Andrews, 48003950300",48003950300,"+32.3148521,-102.5485167",0.576737836289434,0.551904881993195,1,0.458133617134098,0.335156276636355,0.643866647401025,0.471365594571929
61645,"TX, Andrews, 48003950400",48003950400,"+32.1765480,-102.4688186",0.580040049849874,0.432659484829381,0.759117571113319,0.458133617134098,0.461225135358329,0.784198848977949,0.584905641686167
61646,"TX, Angelina, 48005000101",48005000101,"+31.4337680,-094.8475538",0.746812636746864,0.574228213300286,0.983396977541962,0.653271341686989,0.918903695805094,0.691600234076422,0.659475358070432
61647,"TX, Angelina, 48005000102",48005000102,"+31.3158203,-094.8802824",0.627194921958008,0.541108570783125,0.983396977541962,0.567898591766043,0.538254579626469,0.469875821115365,0.662634990915085
61648,"TX, Angelina, 48005000200",48005000200,"+31.3705581,-094.6762150",0.675635488573548,0.699501084727753,0.602792020121774,0.666592969060034,0.867466431780378,0.493029175545302,0.724431250206048
61649,"TX, Angelina, 48005000301",48005000301,"+31.3711414,-094.7745767",0.614503712863181,0.599271599698515,0.742514548655281,0.645307803626945,0.487753685652036,0.510552946364362,0.701621693181949
61650,"TX, Angelina, 48005000302",48005000302,"+31.2784248,-094.7824619",0.579743802951594,0.665926934290479,0.676747451073052,0.54341293668338,0.439089468329675,0.506865765994165,0.646420261338814
61651,"TX, Angelina, 48005000400",48005000400,"+31.3411933,-094.7538471",0.633901908810473,0.707843053169212,0.602792020121774,0.698445433230546,0.415350450999819,0.785778233712124,0.593202261629366
61652,"TX, Angelina, 48005000500",48005000500,"+31.3708474,-094.7362500",0.672071249605741,0.553198481458132,0.811130782864105,0.721702078598635,0.311627444261065,0.938606855596572,0.696161854855937
61653,"TX, Angelina, 48005000600",48005000600,"+31.3505991,-094.6970483",0.632848414044246,0.631573127959472,0.705630760395093,0.632937010722475,0.382227309647086,0.786726592585297,0.657995682956054
61654,"TX, Angelina, 48005000700",48005000700,"+31.3365433,-094.7258312",0.604837082879671,0.656179487511439,0.766964378811059,0.636939336202554,0.252834200037585,0.768192132833436,0.547912961881954
61655,"TX, Angelina, 48005000800",48005000800,"+31.3110999,-094.7054197",0.543571283752234,0.47685863195299,0.756762197757869,0.539351595066879,0.356803877726028,0.5775499448803,0.554101455129338
61656,"TX, Angelina, 48005000901",48005000901,"+31.3124968,-094.7523980",0.620611995499038,0.607512177911641,0.983396977541962,0.490726791724682,0.867466431780378,0.27396116015491,0.500608433880653
61657,"TX, Angelina, 48005000902",48005000902,"+31.2823915,-094.7246988",0.551310596921747,0.658459019541544,0.983396977541962,0.508322206823829,0.395019545811162,0.240169120439576,0.522496711372409
61658,"TX, Angelina, 48005001001",48005001001,"+31.2065934,-094.8086815",0.718617494154373,0.603718784886083,0.983396977541962,0.712188673357729,0.608193226477218,0.756537758502174,0.647669544161074
61659,"TX, Angelina, 48005001002",48005001002,"+31.1574825,-094.7131134",0.579900847408225,0.68407928137684,0.742514548655281,0.653271341686989,0.382612335116011,0.381583522451537,0.635344055162691
61660,"TX, Angelina, 48005001100",48005001100,"+31.3337808,-094.5852421",0.657600323336015,0.645383176301369,0.650289309078722,0.545909884022039,0.867466431780378,0.653936280109275,0.582616858724309
61661,"TX, Angelina, 48005001200",48005001200,"+31.1390364,-094.3552215",0.724063183824901,0.507656787862804,0.983396977541962,0.758366497167211,0.381593025733911,0.917182170019995,0.796183644623521
61662,"TX, Angelina, 48005001300",48005001300,"+31.1891367,-094.5136193",0.643492756401983,0.621591434790836,0.661929265858395,0.712188673357729,0.459162813951004,0.760401399945371,0.645682950508565
61663,"TX, Aransas, 48007950100",48007950100,"+28.1951717,-096.9358509",0.664828358479594,0.505915672907295,0.680642566640898,0.652493705556097,0.972863292084137,0.634468510218883,0.542586403470254
61664,"TX, Aransas, 48007950200",48007950200,"+28.0335099,-097.0258751",0.512914417136383,0.39431300123092,0.827733805322143,0.542927401611996,0.572169744548409,0.37020078635294,0.370141763751888
61665,"TX, Aransas, 48007950300",48007950300,"+28.0420659,-097.0703842",0.58570441330128,0.657889136534018,0.5978025783761,0.424026599341885,0.950853237693241,0.416821553747431,0.466833374115003
61666,"TX, Aransas, 48007950400",48007950400,"+28.0171641,-097.0709140",0.648392897125221,0.663605447683132,0.838685007262781,0.678586638249808,0.603321677498387,0.617287776024422,0.488870836032793
61667,"TX, Aransas, 48007950500",48007950500,"+27.9898056,-097.1250460",0.728147762523533,0.813327348997911,0.680642566640898,0.676436169036485,0.963970614095077,0.687144878791855,0.547364997578974
61668,"TX, Aransas, 48007990000",48007990000,"+27.9305294,-096.9381146",0.559092242017857,0.359927728966983,1,0.3403379158564,0.972465795829536,0,0.681822011454224
61669,"TX, Archer, 48009020100",48009020100,"+33.7905536,-098.5260054",0.53327487994433,0.423527371849879,0.759117571113319,0.421741582870881,0.619322254232502,0.403164913627389,0.572775585972011
61670,"TX, Archer, 48009020200",48009020200,"+33.6476029,-098.7808839",0.563550572961111,0.452011033581887,0.69335047353109,0.602423698725784,0.143792316992429,0.90164992241862,0.588075992516856
61671,"TX, Archer, 48009020300",48009020300,"+33.5246510,-098.5853305",0.574132672452473,0.523309341388544,0.3905049708079,0.543506367055044,0.557095480942622,0.875231785281309,0.555148089239416
61672,"TX, Armstrong, 48011950100",48011950100,"+34.9641790,-101.3566363",0.604667161302317,0.501181798108579,1,0.473201429080681,0.342580306723359,0.674300381698495,0.63673905220279
61673,"TX, Atascosa, 48013960100",48013960100,"+28.8781528,-098.3319339",0.736877700795683,0.689550857492047,0.898227863097259,0.458133617134098,0.924703811310713,0.835896662354188,0.614753393385793
61674,"TX, Atascosa, 48013960201",48013960201,"+29.1199892,-098.7546429",0.625676974292242,0.592163795070901,0.657345434210578,0.458133617134098,0.89895396231501,0.562006047949633,0.585458989073234
61675,"TX, Atascosa, 48013960202",48013960202,"+29.0805454,-098.6307670",0.711979498800227,0.704651009084111,0.69715449727681,0.458133617134098,0.912733138763773,0.80990130375941,0.689303426783163
61676,"TX, Atascosa, 48013960300",48013960300,"+29.0371934,-098.5854561",0.613847041892256,0.528113140482662,0.722233782853131,0.543506367055044,0.514285159466376,0.824157794534463,0.55078600696186
61677,"TX, Atascosa, 48013960401",48013960401,"+29.1036654,-098.5150634",0.733573437123123,0.442878920602385,1,0.543506367055044,0.734639617300954,0.898846883720707,0.78156883405965
61678,"TX, Atascosa, 48013960402",48013960402,"+28.9812134,-098.5122283",0.667216676190593,0.804146289011627,0.838685007262781,0.363436454448736,0.876377839959446,0.625729177324491,0.494925289136477
61679,"TX, Atascosa, 48013960500",48013960500,"+28.8314705,-098.7195364",0.64715266052306,0.39431300123092,0.759117571113319,0.543506367055044,0.563629180870853,0.945792282086511,0.676557560781714
