row#,Name,FIPS,Source,ToxPi Score,Temperature,Droughts,Wildfires,Precipitation,Flooding,Storms
1,"AL, Autauga",01001,"+32.5363818,-086.6444901",0.422522101880957,0.363401495162709,0.769430894308943,0.438644394474783,0.23797633264575,0.177486723609221,0.548192771084337
2,"AL, Baldwin",01003,"+30.6592183,-087.7460666",0.560145489301996,0.312390061565523,0.720162601626016,0.617089624156762,0.133753121268049,0.940931342456668,0.636546184738956
3,"AL, Barbour",01005,"+31.8706701,-085.4054562",0.44795603286451,0.391930518909411,0.777235772357724,0.512046257629297,0.226034089675388,0.0312067129468503,0.749282845668388
4,"AL, Bibb",01007,"+33.0158929,-087.1271475",0.466258364368242,0.352242744063325,0.724227642276423,0.524253132026984,0.299967430246444,0.107272318491283,0.789586919104992
5,"AL, Blount",01009,"+33.9774479,-086.5672464",0.457057003382539,0.30584872471416,0.779837398373984,0.475104400899454,0.308869829551623,0.1903810356602,0.682300631095812
6,"AL, Bullock",01011,"+32.1017589,-085.7172613",0.459272363093841,0.356860158311346,0.842276422764228,0.488756826212657,0.245033112582781,0.0430174693632935,0.779690189328744
7,"AL, Butler",01013,"+31.7516670,-086.6819689",0.422324423290608,0.377198768689534,0.716585365853659,0.460006424670736,0.205298013245033,0.0756324939628295,0.699225473321859
8,"AL, Calhoun",01015,"+33.7717061,-085.8225133",0.415095976932109,0.280343007915567,0.766829268292683,0.436877610022486,0.297253284116817,0.164809122685149,0.544463568559954
9,"AL, Chambers",01017,"+32.9179433,-085.3918121",0.42283069917713,0.26528144239226,0.883089430894309,0.387086411821394,0.245793073499077,0.123634008572778,0.632099827882961
10,"AL, Cherokee",01019,"+34.0695153,-085.6542417",0.439956837321773,0.302770448548813,0.798536585365854,0.457597173144876,0.380089023993052,0.131327253577984,0.569420539300057
11,"AL, Chilton",01021,"+32.8540595,-086.7266275",0.444911287661676,0.342733069481091,0.784065040650406,0.487793125602313,0.23797633264575,0.0680476045210769,0.748852553069421
12,"AL, Choctaw",01023,"+31.9910082,-088.2488874",0.4613299539377,0.320415567282322,0.703739837398374,0.515258592997109,0.185539029421344,0.213135703985458,0.829890992541595
13,"AL, Clarke",01025,"+31.6855211,-087.8186244",0.458172685782202,0.350208883025506,0.690569105691057,0.542081593318342,0.187818912170231,0.195798813832881,0.782558806655192
14,"AL, Clay",01027,"+33.2678085,-085.8620510",0.452715235847188,0.293040897097625,0.825853658536585,0.360905878573723,0.297578981652372,0.116049119131025,0.822862880091796
15,"AL, Cleburne",01029,"+33.6719810,-085.5161090",0.443665412196802,0.282706684256816,0.797560975609756,0.457436556376486,0.297253284116817,0.0513608477492213,0.775674125071716
16,"AL, Coffee",01031,"+31.4021833,-085.9892014",0.428513569835702,0.391930518909411,0.721951219512195,0.433183424349502,0.226034089675388,0.0999041401764376,0.69807802639128
17,"AL, Colbert",01033,"+34.7031120,-087.8014569",0.451732686412097,0.437994722955145,0.626829268292683,0.442017346610986,0.375637824340462,0.297653043479272,0.530263912794033
18,"AL, Conecuh",01035,"+31.4282925,-086.9920291",0.447554557054827,0.394459102902375,0.702113821138211,0.539190491487311,0.194224297036152,0.0680476045210769,0.787292025243833
19,"AL, Coosa",01037,"+32.9314453,-086.2434818",0.446282290902582,0.322999120492524,0.848130081300813,0.381464824927722,0.272717403104983,0.0160369340633452,0.836345381526104
20,"AL, Covington",01039,"+31.2439873,-086.4487206",0.434388968504772,0.383025505716799,0.741463414634146,0.506103437198844,0.205298013245033,0.0999041401764376,0.670539300057372
21,"AL, Crenshaw",01041,"+31.7328256,-086.3192219",0.43633573196304,0.383025505716799,0.746178861788618,0.463058143270157,0.205298013245033,0.0934028063692211,0.727051061388411
22,"AL, Cullman",01043,"+34.1319229,-086.8692666",0.471314885760662,0.418920404573439,0.788130081300813,0.464503694185673,0.376397785256758,0.252685484646025,0.527251864601262
23,"AL, Dale",01045,"+31.4306536,-085.6094760",0.41816938129895,0.387203166226913,0.730569105691057,0.424349502088018,0.226034089675388,0.0849510724198397,0.655909351692484
24,"AL, Dallas",01047,"+32.3335397,-087.1143556",0.412248214016401,0.377033861037819,0.718373983739837,0.456472855766142,0.254912604494626,0.0934028063692211,0.573293172690763
25,"AL, DeKalb",01049,"+34.4609290,-085.8039920",0.47363348893239,0.394788918205805,0.793658536585366,0.476228718278188,0.380089023993052,0.241958283864117,0.555077452667814
26,"AL, Elmore",01051,"+32.5972286,-086.1427385",0.458220308512482,0.349109498680739,0.812195121951219,0.454384837777064,0.23797633264575,0.238599261397056,0.657056798623064
27,"AL, Escambia",01053,"+31.1217475,-087.1684290",0.463194879663804,0.40259454705365,0.718211382113821,0.591069707677482,0.187710346325046,0.182796146218448,0.696787148594378
28,"AL, Etowah",01055,"+34.0476377,-086.0344203",0.425260725964161,0.323328935795954,0.786016260162602,0.418888531962737,0.365649766583433,0.150939610563087,0.506741250717154
29,"AL, Fayette",01057,"+33.7322485,-087.7520486",0.439957083848087,0.303155233069481,0.669105691056911,0.495823964021844,0.325588969710129,0.0603543595158708,0.785714285714286
30,"AL, Franklin",01059,"+34.4419884,-087.8428147",0.454189897878931,0.344272207563764,0.629268292682927,0.502088017989078,0.375637824340462,0.171635523182726,0.70223752151463
31,"AL, Geneva",01061,"+31.0908664,-085.8243464",0.439955610591859,0.365875109938435,0.732682926829268,0.428204304529393,0.224079904462056,0.150939610563087,0.737951807228916
32,"AL, Greene",01063,"+32.8444965,-087.9642005",0.441162602154085,0.29188654353562,0.708780487804878,0.507067137809187,0.246770166105743,0.0756324939628295,0.816838783706254
33,"AL, Hale",01065,"+32.7527958,-087.6230608",0.436775776115088,0.286939313984169,0.712195121951219,0.514134275618375,0.255563999565737,0.107272318491283,0.744549627079748
34,"AL, Henry",01067,"+31.5169779,-085.2399712",0.439585039884707,0.389182058047493,0.768780487804878,0.468358496627048,0.226034089675388,0.0367328466829843,0.748422260470453
