row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
1,"AL, Autauga",01001,"+32.5363818,-086.6444901",0.570687097714146,0.529535873907383,0.456048282886071,0.742275918696418,0.631471057909797,0.804262993240146,0.534223978851918,0.296991578507285
2,"AL, Baldwin",01003,"+30.6592183,-087.7460666",0.560610791831416,0.467259081563055,0.347616359767287,0.57747559308882,0.520383298454591,0.762053868734824,0.640375678033345,0.609111663177987
3,"AL, Barbour",01005,"+31.8706701,-085.4054562",0.650568952004982,0.800426639012259,0.807918883117521,0.803178846482138,0.40723400012306,0.82227698439725,0.558273380283151,0.354673930619493
4,"AL, Bibb",01007,"+33.0158929,-087.1271475",0.587424708415412,0.654047546468957,0.456367203432827,0.788376635184266,0.465466230912878,0.824911065976001,0.526621956165064,0.396182320767887
5,"AL, Blount",01009,"+33.9774479,-086.5672464",0.614214242339076,0.700176539062272,0.507877826920903,0.798055838314779,0.490591605490087,0.80964203822311,0.61784156190001,0.375314286462374
6,"AL, Bullock",01011,"+32.1017589,-085.7172613",0.653208386737778,0.711832125717137,0.642257339403422,0.865733910407488,0.419751629757918,0.879709352473479,0.67283578419448,0.380338565210523
7,"AL, Butler",01013,"+31.7516670,-086.6819689",0.584225914772177,0.8472929098941,0.420677356216318,0.649414881179564,0.434939828092392,0.834001165630551,0.606712004911807,0.296543257480507
8,"AL, Calhoun",01015,"+33.7717061,-085.8225133",0.679584094071742,0.770878291546311,0.651015716147437,0.868625798887124,0.64161523030776,0.892466554872966,0.652337413077946,0.280149653662648
9,"AL, Chambers",01017,"+32.9179433,-085.3918121",0.631501875910472,0.877102682580757,0.597034151697952,0.744094565960867,0.536314487093592,0.870488584987144,0.497787203758666,0.297691455294331
10,"AL, Cherokee",01019,"+34.0695153,-085.6542417",0.606902736065131,0.718529029838687,0.425923454348311,0.786293449125812,0.405078281618582,0.885851020599858,0.690111594623953,0.336532322300711
11,"AL, Chilton",01021,"+32.8540595,-086.7266275",0.646512224059465,0.808852475518086,0.560707724620309,0.736137040098776,0.593562138141265,0.984488683706359,0.494068841948449,0.347768664383009
12,"AL, Choctaw",01023,"+31.9910082,-088.2488874",0.598157155424586,0.703049929723262,0.633702022905343,0.746687010096417,0.293133357400944,0.801282535803065,0.624240196689376,0.385005035353698
13,"AL, Clarke",01025,"+31.6855211,-087.8186244",0.613882598799609,0.835632183571209,0.65578998655602,0.703337200702234,0.439810798936133,0.832070131343491,0.452693315449316,0.377844575038857
14,"AL, Clay",01027,"+33.2678085,-085.8620510",0.597524850415489,0.686487943312966,0.451913483417217,0.711434010065876,0.362752007760391,1,0.604619042812619,0.365467465539355
15,"AL, Cleburne",01029,"+33.6719810,-085.5161090",0.627864303456679,0.641935258767897,0.495627248343151,0.676123589592445,0.532465159801403,0.931169938353067,0.772785822172998,0.34494310716579
16,"AL, Coffee",01031,"+31.4021833,-085.9892014",0.538987829190955,0.668248638364697,0.528692201058987,0.631096250653199,0.380811376485122,0.75227655565812,0.501209979104847,0.310579803011712
17,"AL, Colbert",01033,"+34.7031120,-087.8014569",0.597838126566291,0.725359721837658,0.481327242411229,0.773889275517819,0.596591637528722,0.754768179831159,0.48969171575054,0.363239113086908
18,"AL, Conecuh",01035,"+31.4282925,-086.9920291",0.629434768426938,0.797934254874655,0.609104622830745,0.790799974537148,0.454126421905809,0.817458367317371,0.58285632557361,0.353763411949232
19,"AL, Coosa",01037,"+32.9314453,-086.2434818",0.622652623168863,0.666369910626816,0.596552188851866,0.76528149346054,0.461241705791172,0.944869734404528,0.573375326522871,0.350878002524252
20,"AL, Covington",01039,"+31.2439873,-086.4487206",0.591735736976894,0.731292481479498,0.593147869689476,0.76154798692108,0.446510065440671,0.775350434165551,0.510396530536018,0.323904790605963
21,"AL, Crenshaw",01041,"+31.7328256,-086.3192219",0.577684860292835,0.699026894355757,0.524932334817645,0.734578346590635,0.316659018844728,0.815020343493281,0.625257171851116,0.328319912096684
22,"AL, Cullman",01043,"+34.1319229,-086.8692666",0.585515854770662,0.65519778446106,0.411740019796877,0.653217672992881,0.534659871190262,0.840499049788271,0.595646432405198,0.407650152760083
23,"AL, Dale",01045,"+31.4306536,-085.6094760",0.576870684146695,0.719871080453535,0.543373855604023,0.808557578036451,0.471747391842236,0.77127194962802,0.436153016611541,0.287119916851061
24,"AL, Dallas",01047,"+32.3335397,-087.1143556",0.671485817065315,0.854745259575725,0.666661491734305,0.972209950150986,0.597018292153577,0.795201072075096,0.540873524480915,0.273691129286601
25,"AL, DeKalb",01049,"+34.4609290,-085.8039920",0.639495241669229,0.816642456539712,0.549547506032668,0.728682002639834,0.489247652682604,0.802243686888661,0.677194806544984,0.412908580356141
26,"AL, Elmore",01051,"+32.5972286,-086.1427385",0.559400952797569,0.591576442425058,0.440021771002079,0.638303631297226,0.549435591991726,0.839093353635943,0.479423299216443,0.377952580014507
27,"AL, Escambia",01053,"+31.1217475,-087.1684290",0.648451661531176,0.902194290586209,0.562026639444453,0.785430644492532,0.467998234243706,0.781714814603368,0.650562452677501,0.389234554670464
28,"AL, Etowah",01055,"+34.0476377,-086.0344203",0.637039477026501,0.802269248847067,0.551455277633185,0.731219276161127,0.691505001561957,0.897023906239135,0.482601044993482,0.303202583749554
29,"AL, Fayette",01057,"+33.7322485,-087.7520486",0.576714547871366,0.724882884367356,0.597370298977346,0.785648407836407,0.259792780691529,0.782865500796695,0.549909081025317,0.336532881404912
30,"AL, Franklin",01059,"+34.4419884,-087.8428147",0.586255835326153,0.684565511422895,0.579983209230626,0.7097854784841,0.370545599253983,0.80720888265613,0.582890271766903,0.368811894468431
31,"AL, Geneva",01061,"+31.0908664,-085.8243464",0.580090838516509,0.806749592659909,0.590838239808544,0.764653923879117,0.274526161239347,0.736651142455392,0.550687269409011,0.336529540164246
32,"AL, Greene",01063,"+32.8444965,-087.9642005",0.669921903405846,0.739701038407634,0.75639084474302,0.962069407856501,0.489729475480271,0.806000097060818,0.596295548845407,0.33926691144727
33,"AL, Hale",01065,"+32.7527958,-087.6230608",0.635078974809609,0.774557447011338,0.627159555372396,0.814343037760954,0.453805461909089,0.800984373736457,0.645385046844233,0.329317901032795
34,"AL, Henry",01067,"+31.5169779,-085.2399712",0.568514521364524,0.62152569536031,0.524831486166662,0.672432836257566,0.424065584317528,0.81556458463601,0.585492350738347,0.335689112075241
35,"AL, Houston",01069,"+31.1581928,-085.2963976",0.592115225098598,0.729797142231475,0.580164521209384,0.711661461832928,0.612820623573161,0.759990077964196,0.496501480650216,0.253871268228826
36,"AL, Jackson",01071,"+34.7635224,-085.9774003",0.631970303840559,0.763061469366734,0.484580209376984,0.763757493426608,0.522633798500389,0.78788356187781,0.628820824058467,0.47305477027692
37,"AL, Jefferson",01073,"+33.5534439,-086.8965359",0.644347908645756,0.625537559142971,0.640194199325077,0.756747882235934,0.841582668892325,0.835079019950466,0.492601098316583,0.318692932656938
38,"AL, Lamar",01075,"+33.7870852,-088.0874309",0.586730822110305,0.683321030869957,0.534937144168065,0.737927080915273,0.352489744672552,0.764510228250834,0.625672591050054,0.408257934845402
39,"AL, Lauderdale",01077,"+34.9041221,-087.6509966",0.532182835588892,0.562408360171163,0.378202058924706,0.633253183713369,0.570019919725395,0.724623755239569,0.482490037680087,0.374282533667956
40,"AL, Lawrence",01079,"+34.5297759,-087.3218651",0.578820402139878,0.671530976099014,0.38868394763018,0.773589532825792,0.511210910075184,0.709060707239869,0.5772237053699,0.420443035739204
41,"AL, Lee",01081,"+32.6040644,-085.3530477",0.508462960242842,0.475584154859761,0.38422723302967,0.660125841868493,0.576663137211877,0.807745974413649,0.366367973515059,0.288526406801384
42,"AL, Limestone",01083,"+34.8102387,-086.9813995",0.587673301203438,0.571519559125086,0.470376118447023,0.625460566769394,0.702401976796455,0.733732628384918,0.603050571798727,0.407171687102465
43,"AL, Lowndes",01085,"+32.1478880,-086.6505859",0.673317311030578,0.784793196577775,0.625402190876376,0.93564972756859,0.499974257534053,0.833086662656046,0.67738367309034,0.356931468910865
44,"AL, Macon",01087,"+32.3870267,-085.6928870",0.616941928361189,0.727043303900129,0.612777785104933,0.86368961566367,0.506917802623003,0.824786353823782,0.451312791682352,0.332065845730456
45,"AL, Madison",01089,"+34.7642377,-086.5510803",0.514985539302519,0.368694288374308,0.322844906034772,0.560150676640941,0.730160997564203,0.75880093835318,0.494637821559307,0.369609146590919
46,"AL, Marengo",01091,"+32.2475911,-087.7910910",0.60950108182121,0.733696830425053,0.590127016627612,0.82336816198614,0.41870237323812,0.781916136250814,0.587734580867148,0.33096247335358
47,"AL, Marion",01093,"+34.1382194,-087.8815510",0.585578029061668,0.719333686387805,0.515557881457043,0.754788833467817,0.412167350412967,0.813960296730446,0.504281353755958,0.378956801219638
48,"AL, Marshall",01095,"+34.3095637,-086.3216681",0.625919564572155,0.744373276868327,0.537078028563184,0.702081329370107,0.484232268555868,0.813820476664884,0.656317946139981,0.443533625842735
49,"AL, Mobile",01097,"+30.6845730,-088.1965684",0.664505235721411,0.6766907286643,0.547960033046323,0.715789027350832,0.723509832799335,0.804694009243722,0.660752299231633,0.522140719713732
50,"AL, Monroe",01099,"+31.5803324,-087.3832656",0.58731601097295,0.807223927128458,0.468546643342564,0.783903568420303,0.345826139148713,0.823709686048622,0.514150184542624,0.367851928179368
51,"AL, Montgomery",01101,"+32.2036505,-086.2038308",0.618376325358748,0.667337545185527,0.63670924723451,0.727450179502063,0.768435621003285,0.829162127347007,0.432072383015108,0.26746717422374
52,"AL, Morgan",01103,"+34.4544844,-086.8464021",0.588118959124434,0.547407278864608,0.42382593199063,0.75976785385397,0.666758961338976,0.760330031640565,0.603099757488113,0.355642898694173
53,"AL, Perry",01105,"+32.6390053,-087.2938269",0.59435173802269,0.768128038935145,0.550201900189158,0.832780874731182,0.328566158885297,0.805876344419254,0.516814675354762,0.358094173644033
54,"AL, Pickens",01107,"+33.2968085,-088.0968780",0.628159235394889,0.839534885896653,0.678887814399199,0.751293806720296,0.387113920635711,0.824262314407672,0.585014580796447,0.331007324908248
