ToxPi Score,FIPS,Name,Source,Baseline.Health!1!0x88cceeff,Baseline.SocialEconomic!1!0x44aa99ff,Baseline.Infrastructure!1!0x117733ff,Baseline.Environment!1!0x332288ff
0.566990000736338,01001,"AL, Autauga","+32.5363818,-086.6444901",0.522459730949299,0.441853209002701,0.670860229479839,0.632786833513512
0.514347658886013,01003,"AL, Baldwin","+30.6592183,-087.7460666",0.478116752299332,0.422365348994075,0.565241187261104,0.59166734698954
0.72618652595578,01005,"AL, Barbour","+31.8706701,-085.4054562",0.869139973838666,0.802068656411078,0.750257775200714,0.483279698372661
0.5998493970498,01007,"AL, Bibb","+33.0158929,-087.1271475",0.636460847085717,0.486981969700786,0.787717864424065,0.488236906988632
0.652263019703291,01009,"AL, Blount","+33.9774479,-086.5672464",0.710439285310186,0.547838752681978,0.722147943803095,0.628626097017904
0.675384298887603,01011,"AL, Bullock","+32.1017589,-085.7172613",0.801297096435674,0.561059024297886,0.840725696257825,0.498455378559026
0.642661480681274,01013,"AL, Butler","+31.7516670,-086.6819689",0.921511480029295,0.430439305823167,0.720567583119899,0.498127553752736
0.711119262533868,01015,"AL, Calhoun","+33.7717061,-085.8225133",0.78659962522356,0.572145132750426,0.790206792340475,0.69552549982101
0.669174021376805,01017,"AL, Chambers","+32.9179433,-085.3918121",0.86879014525931,0.563541762957893,0.696093358428495,0.548270818861521
0.625885939381348,01019,"AL, Cherokee","+34.0695153,-085.6542417",0.729434499983858,0.476351506788461,0.779792791997655,0.517964958755416
0.676997466865245,01021,"AL, Chilton","+32.8540595,-086.7266275",0.803069452316983,0.529702756115934,0.785411906271512,0.589805752756551
0.617002200556601,01023,"AL, Choctaw","+31.9910082,-088.2488874",0.803469446133373,0.593095946671069,0.741088435421171,0.330354974000791
0.669627412645835,01025,"AL, Clarke","+31.6855211,-087.8186244",0.83793357144576,0.642803557881231,0.751994950528034,0.445777570728314
0.596165886319464,01027,"AL, Clay","+33.2678085,-085.8620510",0.789143197937943,0.499163909607903,0.675853310134019,0.420503127597991
0.647088654417963,01029,"AL, Cleburne","+33.6719810,-085.5161090",0.739141938683779,0.573984905203021,0.709451072807778,0.565776700977273
0.551929390854528,01031,"AL, Coffee","+31.4021833,-085.9892014",0.652203274048017,0.501496176502703,0.607772118983963,0.446245993883427
